,x,y,metric
53,-5.0,1.708860759493671,9.776891771344686e-07
54,-5.0,1.8354430379746844,9.552782008435537e-07
55,-5.0,1.9620253164556969,9.317206793373214e-07
56,-5.0,2.0886075949367093,9.071276597482736e-07
57,-5.0,2.2151898734177218,8.816128097080875e-07
58,-5.0,2.3417721518987342,8.55291550540368e-07
59,-5.0,2.4683544303797476,8.282801986945e-07
60,-5.0,2.59493670886076,8.006951242133387e-07
61,-5.0,2.7215189873417724,7.726519345641299e-07
62,-5.0,2.8481012658227858,7.442646915958938e-07
63,-5.0,2.974683544303798,7.156451687297006e-07
64,-5.0,3.1012658227848107,6.869021547540513e-07
65,-5.0,3.227848101265824,6.581408098000513e-07
66,-5.0,3.3544303797468356,6.294620782251503e-07
67,-5.0,3.481012658227849,6.009621622548422e-07
68,-5.0,3.6075949367088604,5.727320593340747e-07
69,-5.0,3.7341772151898738,5.448571652389703e-07
70,-5.0,3.860759493670887,5.174169441089902e-07
71,-5.0,3.9873417721518987,4.904846656934425e-07
72,-5.0,4.113924050632912,4.6412720927649273e-07
73,-5.0,4.240506329113925,4.3840493296293146e-07
74,-5.0,4.367088607594937,4.13371606282553e-07
75,-5.0,4.49367088607595,3.890744034125866e-07
76,-5.0,4.6202531645569636,3.65553953731823e-07
77,-5.0,4.746835443037975,3.428444459121092e-07
78,-5.0,4.873417721518988,3.2097378132625756e-07
79,-5.0,5.0,2.9996377220799367e-07
80,-4.8734177215189876,-5.0,5.032545080527196e-07
81,-4.8734177215189876,-4.8734177215189876,5.403758539911773e-07
82,-4.8734177215189876,-4.746835443037975,5.792032677446574e-07
83,-4.8734177215189876,-4.620253164556962,6.197162431497994e-07
84,-4.8734177215189876,-4.493670886075949,6.618835125397894e-07
85,-4.8734177215189876,-4.367088607594937,7.056625245378264e-07
86,-4.8734177215189876,-4.240506329113924,7.509989895479973e-07
87,-4.8734177215189876,-4.113924050632911,7.978265025542451e-07
88,-4.8734177215189876,-3.9873417721518987,8.460662524891358e-07
89,-4.8734177215189876,-3.8607594936708862,8.956268269261159e-07
90,-4.8734177215189876,-3.7341772151898733,9.464041201800231e-07
91,-4.8734177215189876,-3.6075949367088604,9.982813520717106e-07
92,-4.8734177215189876,-3.481012658227848,1.0511292036274345e-06
93,-4.8734177215189876,-3.3544303797468356,1.1048060748491459e-06
94,-4.8734177215189876,-3.2278481012658227,1.1591584684181507e-06
95,-4.8734177215189876,-3.10126582278481,1.214021501794646e-06
96,-4.8734177215189876,-2.9746835443037973,1.2692195486660326e-06
97,-4.8734177215189876,-2.848101265822785,1.3245670090960953e-06
98,-4.8734177215189876,-2.721518987341772,1.3798692060574062e-06
99,-4.8734177215189876,-2.594936708860759,1.4349234043141438e-06
100,-4.8734177215189876,-2.4683544303797467,1.489519945888112e-06
101,-4.8734177215189876,-2.3417721518987342,1.5434434946145105e-06
102,-4.8734177215189876,-2.2151898734177213,1.5964743806044638e-06
103,-4.8734177215189876,-2.0886075949367084,1.6483900338074315e-06
104,-4.8734177215189876,-1.962025316455696,1.698966494337501e-06
105,-4.8734177215189876,-1.8354430379746836,1.747979985821597e-06
106,-4.8734177215189876,-1.7088607594936707,1.7952085367718516e-06
107,-4.8734177215189876,-1.5822784810126578,1.840433633904512e-06
108,-4.8734177215189876,-1.4556962025316453,1.883441890446476e-06
109,-4.8734177215189876,-1.3291139240506329,1.924026711808475e-06
